param,val,mae_ite,l_val,mae_sd
tau,0.01,1.538,1.114,0.088
tau,0.1,1.44,1.035,0.085
tau,0.5,1.0426,0.7303,0.0704
tau,0.8,0.48772,0.34259071,0.042942
tau,1,0.190726,0.1483415,0.018128
tau,1.2,0.12108,0.106269,0.00898
tau,1.5,0.1047624,0.09645,0.006488
tau,2,0.1059086,0.0976192,0.006482694
tau,5,0.51466,0.384478986,0.0374004
lambda_p,0.01,0.2461701,0.185120717,0.022389432
lambda_p,0.1,0.198458359,0.156320333,0.018801061
lambda_p,0.5,0.188640259,0.148978367,0.018259465
lambda_p,0.8,0.189833074,0.150161102,0.017990374
lambda_p,1,0.190726,0.1483415,0.018128
lambda_p,1.2,0.193733797,0.15341562,0.017846012
lambda_p,1.5,0.191238334,0.151214123,0.017536093
lambda_p,2,0.192272521,0.151620165,0.017393699
lambda_p,5,0.196461329,0.153266966,0.0170726
H,20,0.188577592,0.147391334,0.016970954
H,30,0.193329006,0.152946502,0.018348918
H,40,0.190726,0.1483415,0.018128
H,50,0.187507192,0.150081143,0.018461014
H,100,0.200700321,0.159277111,0.018061614
